raceId,precipitation_mm,wet_race
337,0.0,0
338,0.0,0
339,0.6,0
340,1.6,1
341,0.2,0
342,0.9,0
343,0.0,0
344,0.0,0
345,0.0,0
346,0.0,0
347,0.0,0
348,0.0,0
349,2.5,1
350,0.0,0
351,17.2,1
352,0.0,0
353,2.0,1
354,0.1,0
355,0.4,0
841,0.0,0
842,16.7,1
843,0.0,0
844,0.0,0
845,0.0,0
846,0.0,0
847,6.9,1
848,0.0,0
849,0.0,0
850,1.9,1
851,0.2,0
852,0.3,0
853,0.0,0
854,1.0,0
855,0.0,0
856,0.1,0
857,0.0,0
858,0.0,0
859,9.7,1
860,0.0,0
861,5.2,1
862,0.0,0
863,0.0,0
864,0.0,0
865,0.5,0
866,0.0,0
867,0.0,0
868,2.3,1
869,0.0,0
870,0.8,0
871,0.0,0
872,0.0,0
873,2.8,1
874,0.0,0
875,0.0,0
876,0.0,0
877,0.0,0
878,0.0,0
879,4.9,1
880,0.0,0
881,1.8,1
882,0.0,0
883,0.0,0
884,0.0,0
885,0.0,0
886,0.3,0
887,0.0,0
888,0.0,0
890,0.0,0
891,0.4,0
892,2.3,1
893,1.5,1
894,0.0,0
895,0.0,0
896,0.0,0
897,0.0,0
898,0.0,0
899,8.0,1
900,0.5,0
901,0.9,0
902,0.0,0
903,0.0,0
904,0.0,0
905,0.3,0
906,0.0,0
907,0.2,0
908,0.0,0
909,0.0,0
910,4.1,1
911,0.3,0
912,0.0,0
913,0.6,0
914,1.5,1
915,0.0,0
916,0.0,0
917,0.9,0
918,0.0,0
926,0.0,0
927,0.2,0
928,0.0,0
929,0.0,0
930,0.0,0
931,0.0,0
932,0.0,0
933,1.9,1
934,0.5,0
936,0.0,0
937,0.6,0
938,0.0,0
939,2.8,1
940,0.0,0
941,0.0,0
942,0.3,0
943,2.4,1
944,0.4,0
945,0.0,0
948,0.0,0
949,0.0,0
950,0.0,0
951,0.0,0
952,0.0,0
953,5.0,1
954,0.2,0
955,0.0,0
956,0.2,0
957,0.3,0
958,0.0,0
959,0.0,0
960,0.0,0
961,0.0,0
962,2.3,1
963,0.0,0
964,0.0,0
965,0.0,0
966,0.4,0
967,4.3,1
968,0.0,0
969,0.0,0
970,0.2,0
971,0.0,0
972,0.0,0
973,0.1,0
974,0.0,0
975,0.3,0
976,0.0,0
977,0.4,0
978,1.5,1
979,0.0,0
980,0.2,0
981,0.0,0
982,10.6,1
983,4.0,1
984,0.0,0
985,0.0,0
986,0.1,0
987,0.0,0
988,0.0,0
989,0.8,0
990,0.0,0
991,0.0,0
992,0.0,0
993,4.8,1
994,0.4,0
995,0.0,0
996,0.0,0
997,0.0,0
998,0.0,0
999,1.4,1
1000,0.0,0
1001,0.0,0
1002,1.6,1
1003,0.3,0
1004,0.0,0
1005,0.0,0
1006,0.0,0
1007,0.4,0
1008,0.7,0
1009,0.0,0
1010,0.0,0
1011,0.0,0
1012,0.0,0
1013,0.0,0
1014,0.0,0
1015,1.1,1
1016,0.0,0
1017,0.0,0
1018,0.0,0
1019,0.4,0
1020,8.4,1
1021,0.1,0
1022,0.1,0
1023,12.2,1
1024,0.0,0
1025,1.3,1
1026,0.0,0
1027,6.9,1
1028,0.0,0
1029,0.0,0
1030,0.0,0
1031,0.0,0
1032,0.0,0
1033,2.8,1
1034,0.0,0
1035,0.0,0
1036,1.7,1
1037,0.5,0
1038,0.0,0
1039,0.0,0
1040,0.0,0
1041,0.0,0
1042,0.5,0
1043,0.0,0
1044,0.4,0
1045,0.0,0
1046,0.0,0
1047,0.0,0
1052,0.0,0
1053,0.3,0
1054,0.0,0
1055,0.1,0
1056,0.0,0
1057,0.0,0
1059,0.3,0
1058,0.8,0
1060,0.0,0
1061,0.0,0
1062,0.6,0
1063,2.6,1
1064,0.0,0
1065,0.0,0
1066,0.8,0
1067,0.0,0
1069,0.4,0
1070,0.0,0
1071,0.0,0
1051,0.0,0
1072,0.0,0
1073,0.0,0
1074,0.0,0
1075,0.0,0
1076,0.0,0
1077,1.6,1
1078,0.8,0
1079,0.0,0
1080,1.7,1
1081,0.0,0
1082,0.0,0
1083,0.9,0
1084,0.7,0
1085,0.0,0
1086,2.4,1
1087,0.0,0
1088,1.8,1
1089,0.0,0
1091,3.4,1
1092,8.2,1
1093,0.0,0
1094,0.8,0
1095,0.0,0
1096,0.0,0
1098,0.0,0
1099,0.0,0
1100,0.0,0
1101,0.0,0
1102,0.8,0
1104,0.6,0
1105,0.2,0
1106,0.0,0
1107,0.1,0
1108,0.2,0
1109,0.0,0
1110,0.6,0
1111,1.8,1
1112,0.0,0
1113,0.5,0
1114,0.0,0
1115,0.0,0
1116,0.0,0
1117,0.0,0
1118,0.2,0
1119,0.0,0
1120,0.0,0
1121,0.0,0
1122,0.0,0
1123,0.0,0
1124,0.0,0
1125,0.0,0
1126,0.3,0
1127,0.2,0
1128,0.0,0
1129,2.9,1
1130,2.0,1
1131,0.0,0
1132,1.2,1
1133,0.0,0
1134,0.0,0
1135,0.1,0
1136,0.7,0
1137,0.0,0
1138,0.0,0
1139,0.0,0
1140,1.7,1
1141,8.8,1
1142,0.0,0
1143,0.0,0
1144,0.0,0
1145,6.1,1
1146,0.0,0
1147,5.4,1
1148,0.0,0
1149,0.0,0
1150,1.2,1
1151,1.0,0
1152,0.0,0
1153,0.0,0
1154,0.0,0
1155,0.0,0
1156,11.5,1
1157,2.0,1
1158,0.0,0
1159,0.2,0
1160,0.0,0
1161,0.0,0
1162,1.7,1
1163,0.0,0
1164,0.0,0
1165,0.2,0
1166,0.0,0
1167,0.0,0
1168,0.0,0
1169,0.0,0
1170,0.0,0
1171,0.0,0
1172,2.0,1
1173,0.2,0
1174,0.0,0
1175,0.0,0
1176,0.2,0
